"X","time_rstan","time_rinla","alpha_mean_diff_stan","beta_mean_diff_stan","tau_nu_mean_diff_stan","alpha_q_stan","beta_q_stan","tau_nu_q_stan","alpha_mean_diff_inla","beta_mean_diff_inla","tau_nu_mean_diff_inla","alpha_q_inla","beta_q_inla","tau_nu_q_inla"
"Total37",4.882,1.22389912605286,0.0641044613150559,-0.0106693829224696,-7.95785532495509,0.1365,0.82175,0.60575,0.0652745285663123,-0.0109898908204515,-11.0274643288413,0.126556994332294,0.835488165027579,0.62944752030731
"Total38",0.687,1.29139709472656,-0.145696250789509,0.0320885534185862,95.6166086593225,0.67975,0.299,0.2885,-0.142106630052454,0.0321915560330584,94.2853718584274,0.679116994620299,0.296435937386243,0.288800152292092
"Total39",1.44,0.921669006347656,-0.275411972582157,0.0484417758599501,50.6168440377199,0.93475,0.074,0.3765,-0.272676042126836,0.0480195155275618,48.2505228657119,0.9363678429701,0.0732563825128539,0.405356707597163
"Total40",0.752,0.905791997909546,0.383957211682112,-0.0886431645027945,-11.480078939255,0.10775,0.92075,0.6205,0.384414876597932,-0.0878302299634257,-13.4046226294604,0.107932535941624,0.922407972552354,0.629684810409549
"Total41",1.088,1.17845392227173,0.207621650068027,-0.0434827347022923,94.7209875099343,0.08825,0.94725,0.25375,0.210022258433736,-0.0435490246908873,96.2766833511677,0.0870477800374127,0.951928140337571,0.263807243582299
"Total42",1.943,0.927032947540283,0.0334714192565311,-0.00714533960051156,-15.6926768264163,0.3635,0.65475,0.652,0.0342636351701993,-0.00729626058803412,-14.3036383312735,0.359986295213864,0.65987276971156,0.642939754551968
"Total43",1.299,0.931289911270142,0.0949811351802241,-0.0104411646711419,66.860951915533,0.26475,0.64825,0.38675,0.0992676033740887,-0.0111910428462606,59.1571436163634,0.251983808683133,0.655859107773463,0.405336456744711
"Total44",0.736,0.937298059463501,0.2889910112821,-0.0915972066894611,46.5785178207179,0.1385,0.959,0.457,0.284276345651868,-0.090141298400371,47.6816825218192,0.150187483466214,0.953104482375113,0.454485670305652
"Total45",0.818,0.892307996749878,-0.0956762698412794,0.00895060612952309,88.8639348054296,0.649,0.427,0.2075,-0.0915470587279307,0.00860949315300469,87.9061957905403,0.643479425183849,0.427993738719891,0.250719592582148
"Total46",1.403,0.901439905166626,0.000690600820033582,-0.00333115195782335,40.8173830976153,0.49625,0.553,0.20625,0.00358418379819803,-0.00372280707040762,44.0286150823387,0.492642955642626,0.558168061933303,0.193316750941967
"Total47",0.581,0.936486959457397,0.355828280231743,-0.124319456269758,-213.690082479077,0.18725,0.92525,0.91275,0.351531659270077,-0.121215281941692,-215.287192551212,0.191817130050754,0.918629555350809,0.919132179499648
"Total48",1.09,0.898802995681763,0.015860212103731,0.00282965307100069,-107.644341806174,0.464,0.4655,0.82725,0.0217577812987788,0.00185682758794498,-111.750765061512,0.447256997962359,0.479642850130709,0.835086957211648
"Total49",0.95,1.05993413925171,0.195278734846572,-0.0343389648750624,99.3520166658243,0.186,0.787,0.26825,0.194479892751226,-0.0337282325088311,98.4116658697681,0.192332245101692,0.782126890376065,0.271355525976537
"Total50",10.043,0.996731996536255,0.0990461646987422,-0.0114926469957921,-1.5704798011389,0.17225,0.686,0.61725,0.111122155986729,-0.0135178235502023,-1.20519127486003,0.156310150949142,0.726230574494555,0.594192464327227
"Total51",0.897,1.32106804847717,-0.260272406718381,0.0432217512229216,-85.3030409641119,0.855,0.16725,0.7785,-0.258941247319982,0.0435418538030408,-87.1333003578013,0.864001497581534,0.157096406586696,0.779384105814716
"Total52",1.455,0.951827049255371,-0.0137310689625189,0.00146015914648712,61.7285177638748,0.55625,0.464,0.4115,-0.0133554489924296,0.00141042872912123,58.8184717033954,0.558194984523465,0.467776830977096,0.420385291133525
"Total53",1.627,0.918431997299194,-0.0469986596544268,0.010145869542756,-31.5926371907227,0.68475,0.28375,0.67425,-0.0470307128355391,0.0101336454886041,-34.9876056256054,0.687818666102618,0.285475499666213,0.686897310618892
"Total54",0.904,0.889014005661011,-0.153124802254693,0.014470538335186,-51.6345897378874,0.761,0.3625,0.7115,-0.149375613409277,0.0142600285025091,-51.3953165126758,0.768388637336,0.357765413622519,0.718426498177946
"Total55",2.33,0.959897994995117,0.079768556429743,-0.0145111187724801,9.35071457655688,0.243,0.753,0.32025,0.0817572836836744,-0.0148845239961261,9.38421837527463,0.238759845893259,0.752682621531465,0.324640621738295
"Total56",3.159,0.920056104660034,-0.0457910298347448,0.00716517219946033,-26.0080090824661,0.6965,0.33675,0.79675,-0.049223511518237,0.00778005505516455,-26.1616991263467,0.710885698847111,0.328025811111674,0.80258746605417
"Total57",0.699,1.01323795318604,0.460605407185708,-0.100421742936464,-279.60842660944,0.0715,0.942,0.947,0.467476508750331,-0.100925905491552,-282.335428879413,0.0734081815560568,0.937574166204548,0.954483333811655
"Total58",1.661,0.920094013214111,-0.0698277288627009,0.0139103353983092,50.3670476789729,0.715,0.271,0.21425,-0.0695834680907156,0.0140444698594233,48.0189340305211,0.719862222700503,0.265066458319523,0.226260415944486
"Total59",1.55,0.91510009765625,0.0697227055965817,-0.014708087704687,-22.1429009309076,0.2525,0.77125,0.749,0.0711580639412395,-0.0150061189300058,-19.8053381723292,0.249322316467081,0.776780674430829,0.733325022973131
"Total60",2.46,0.970805883407593,0.0343379587170738,-0.00747627955692165,-6.53740693122825,0.355,0.66175,0.62025,0.0377247769047946,-0.00817747824179005,-7.38440028428926,0.342637012749148,0.679290406980186,0.62522950539293
